Archivo,Tamaño de archivos,Cantidad de archivos,MD5,Tipo de Archivo,Registros DBF,Tiempo Compresion,Notificacion,,,,
XML_MAESTRO,2657.5554,24,,carpeta,,,,,,0,
R15,2657.5554,24,,carpeta,,,,,,0,
R15_202501_XML_MAESTRO.dbf,162.1474,,,.dbf,289153,,,,,0,
R15_202501_XML_MAESTRO.dbf.zip,39.4053,,,.zip,,0.2226,,,,13.356,
R15_202502_XML_MAESTRO.dbf,121.2439,,,.dbf,216210,,,,,0,
R15_202502_XML_MAESTRO.dbf.zip,28.184,,,.zip,,0.1693,,,,10.158,
R15_202503_XML_MAESTRO.dbf,81.6581,,,.dbf,145617,,,,,0,
R15_202503_XML_MAESTRO.dbf.zip,19.4617,,,.zip,,0.1192,,,,7.152,
R15_202504_XML_MAESTRO.dbf,158.3471,,,.dbf,282376,,,,,0,
R15_202504_XML_MAESTRO.dbf.zip,38.3265,,,.zip,,0.2306,,,,13.836,
R15_202505_XML_MAESTRO.dbf,80.9151,,,.dbf,144292,,,,,0,
R15_202505_XML_MAESTRO.dbf.zip,19.7271,,,.zip,,0.1184,,,,7.104,
R15_202506_XML_MAESTRO.dbf,87.4597,,,.dbf,155963,,,,,0,
R15_202506_XML_MAESTRO.dbf.zip,21.1802,,,.zip,,0.1278,,,,7.668,
R15_202507_XML_MAESTRO.dbf,81.3301,,,.dbf,145032,,,,,0,
R15_202507_XML_MAESTRO.dbf.zip,20.5025,,,.zip,,0.113,,,,6.78,
R15_202508_XML_MAESTRO.dbf,87.5691,,,.dbf,156158,,,,,0,
R15_202508_XML_MAESTRO.dbf.zip,21.6015,,,.zip,,0.1302,,,,7.812,
R15_202509_XML_MAESTRO.dbf,114.2069,,,.dbf,203661,,,,,0,
R15_202509_XML_MAESTRO.dbf.zip,26.8665,,,.zip,,0.1788,,,,10.728,
R15_202510_XML_MAESTRO.dbf,81.3615,,,.dbf,145088,,,,,0,
R15_202510_XML_MAESTRO.dbf.zip,19.8718,,,.zip,,0.121,,,,7.26,
R15_202511_XML_MAESTRO.dbf,81.0508,,,.dbf,144534,,,,,0,
R15_202511_XML_MAESTRO.dbf.zip,19.798,,,.zip,,0.1205,,,,7.23,
R15_202512_XML_MAESTRO.dbf,80.6611,,,.dbf,143839,,,,,0,
R15_202512_XML_MAESTRO.dbf.zip,20.1296,,,.zip,,0.1221,,,,7.326,
R15_202513_XML_MAESTRO.dbf,240.5417,,,.dbf,428953,,,,,0,
R15_202513_XML_MAESTRO.dbf.zip,58.3359,,,.zip,,0.3614,,,,21.684,
R15_202514_XML_MAESTRO.dbf,80.9801,,,.dbf,144408,,,,,0,
R15_202514_XML_MAESTRO.dbf.zip,19.8227,,,.zip,,0.1204,,,,7.224,
R15_202515_XML_MAESTRO.dbf,135.3397,,,.dbf,241347,,,,,0,
R15_202515_XML_MAESTRO.dbf.zip,31.764,,,.zip,,0.1983,,,,11.898,
R15_202516_XML_MAESTRO.dbf,123.7538,,,.dbf,220686,,,,,0,
R15_202516_XML_MAESTRO.dbf.zip,29.1813,,,.zip,,0.1725,,,,10.35,
R15_202517_XML_MAESTRO.dbf,114.0252,,,.dbf,203337,,,,,0,
R15_202517_XML_MAESTRO.dbf.zip,26.9129,,,.zip,,0.1626,,,,9.756,
R15_202518_XML_MAESTRO.dbf,84.6991,,,.dbf,151040,,,,,0,
R15_202518_XML_MAESTRO.dbf.zip,20.6322,,,.zip,,0.1255,,,,7.53,
R15_202519_XML_MAESTRO.dbf,81.9727,,,.dbf,146178,,,,,0,
R15_202519_XML_MAESTRO.dbf.zip,20.1723,,,.zip,,0.1247,,,,7.482,
R15_202520_XML_MAESTRO.dbf,156.708,,,.dbf,279453,,,,,0,
R15_202520_XML_MAESTRO.dbf.zip,37.0179,,,.zip,,0.2199,,,,13.194,
R15_202521_XML_MAESTRO.dbf,86.7734,,,.dbf,154739,,,,,0,
R15_202521_XML_MAESTRO.dbf.zip,21.2569,,,.zip,,0.1297,,,,7.782,
R15_202522_XML_MAESTRO.dbf,83.448,,,.dbf,148809,,,,,0,
R15_202522_XML_MAESTRO.dbf.zip,20.4419,,,.zip,,0.1256,,,,7.536,
R15_202523_XML_MAESTRO.dbf,81.214,,,.dbf,144825,,,,,0,
R15_202523_XML_MAESTRO.dbf.zip,19.8653,,,.zip,,0.1243,,,,7.458,
R15_202524_XML_MAESTRO.dbf,170.1489,,,.dbf,303422,,,,,0,
R15_202524_XML_MAESTRO.dbf.zip,41.7939,,,.zip,,0.2377,,,,14.262,
XML_MAESTRO.tar.gz,637.0608,,dce88ccc738593b8ece7d21c08e929de,.tar.gz,,0.0074,,,,,26.64
